序号,编码,日期,价格,商品名称
1,1101010501,2021/1/29,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/1/30,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/1/31,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/1,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/2,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/3,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/4,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/5,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/6,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/7,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/8,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/9,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/10,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/11,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/12,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/13,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/14,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/15,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/16,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/17,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/18,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/19,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/20,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/21,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/22,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/23,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/24,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
1,1101010501,2021/2/25,23.9,【芭芭农场】云南高原水果玉米4支装中大果250g当季新鲜蔬菜
